DB file ID,Turbo,Rating,Origin,Year,Decade,Mass,Model,Version,RefCount,Author,Class,vehFile,Type,Aero,Aids,F/R/4WD,originalFolder,Continent,Manufacturer,Category,Scene Description,GraphicDetailsFactor,URL,Gearshift,AIstrengthFactor,tType,Name,ID,Country,Flags,MinVersion,Track Name
F1_1979_FITTIPALDI_HE,0,,0,1979,1970-,687,He,0.97,1,,F1,14_FITTIPALDI.VEH,2,1,,REAR,Installed\vehicles\F1_1979_FITTIPALDI_HE\0.97,,Fittipaldi,0,,,,H5,,,F1_1979_FITTIPALDI_HE,,,271593472,,
F1_1979_LIGIER_HE,0,,0,1979,1970-,657,He,0.97,1,,F1,25_DEPAILLER.VEH,2,1,,REAR,Installed\vehicles\F1_1979_LIGIER_HE\0.97,,Ligier,0,,,,H6,,,F1_1979_LIGIER_HE,,,271593472,,
F1_1979_LOTUS_HE,0,,0,1979,1970-,685,He,0.97,1,,F1,2_REUTEMANN.VEH,2,1,,REAR,Installed\vehicles\F1_1979_LOTUS_HE\0.97,,Lotus,0,,,,H5,,,F1_1979_LOTUS_HE,,,271593472,,
F1_1979_MCLAREN_HE,0,,0,1979,1970-,700,He,0.97,1,,F1,8_TAMBAY.VEH,2,1,,REAR,Installed\vehicles\F1_1979_MCLAREN_HE\0.97,,McLaren,0,,,,H6,,,F1_1979_MCLAREN_HE,,,271593472,,
F1_1979_MERZARIO_HE,0,,0,1979,1970-,677,He,0.97,1,,F1,24_MERZARIO.VEH,2,1,,REAR,Installed\vehicles\F1_1979_MERZARIO_HE\0.97,,Merzario,0,,,,H5,,,F1_1979_MERZARIO_HE,,,271593472,,
F1_1979_REBAQUE_HE,0,,0,1979,1970-,685,He,0.97,1,,F1,31_REBAQUE.VEH,2,1,,REAR,Installed\vehicles\F1_1979_REBAQUE_HE\0.97,,Rebaque,0,,,,H5,,,F1_1979_REBAQUE_HE,,,271593472,,
F1_1979_RENAULT_HE,1,,0,1979,1970-,670,He,0.97,1,,F1,15_JABOUILLE.VEH,2,1,,REAR,Installed\vehicles\F1_1979_RENAULT_HE\0.97,,Renault,0,,,,H6,,,F1_1979_RENAULT_HE,,,271593472,,
F1_1979_SHADOW_HE,0,,0,1979,1970-,680,He,0.97,1,,F1,18_DE ANGELIS.VEH,2,1,,REAR,Installed\vehicles\F1_1979_SHADOW_HE\0.97,,Shadow,0,,,,H5,,,F1_1979_SHADOW_HE,,,271593472,,
F1_1979_TYRRELL_HE,0,,0,1979,1970-,667,He,0.97,1,,F1,4_JARIER.VEH,2,1,,REAR,Installed\vehicles\F1_1979_TYRRELL_HE\0.97,,Tyrrell,0,,,,H5,,,F1_1979_TYRRELL_HE,,,271593472,,
F1_1979_WILLIAMS_HE,0,,0,1979,1970-,654,He,0.97,1,,F1,27_JONES.VEH,2,1,,REAR,Installed\vehicles\F1_1979_WILLIAMS_HE\0.97,,Williams,0,,,,H5,,,F1_1979_WILLIAMS_HE,,,271593472,,
F1_1979_WOLF_HE,0,,0,1979,1970-,665,He,0.97,1,,F1,20_HUNT.VEH,2,1,,REAR,Installed\vehicles\F1_1979_WOLF_HE\0.97,,Wolf,0,,,,H5,,,F1_1979_WOLF_HE,,,271593472,,
F1_1986_Cars,1,,0,1986,1980-,615,Cars,1,1,,F1,DEANGELIS_LE__08.VEH,2,1,,REAR,Installed\vehicles\F1_1986_Cars\1.0,,Cars,0,,,,Paddles,,,F1_1986_Cars,,,3149824,,
F1_1986_LE_0.97,1,,0,1986,1980-,615,0.97,0.97,1,,F1,BOUTSEN_LE_18.VEH,2,1,,REAR,Installed\vehicles\F1_1986_LE_0.97\0.97,,Le,0,,,,Paddles,,,F1_1986_LE_0.97,,,270536704,,
F1_1988_Cars,1,,1,1988,1980-,620,Cars,0.941,1,carrera.4,F1,1988_AGS14.VEH,2,1,,REAR,Installed\vehicles\F1_1988_Cars\0.941,,Cars,6,,,,H6,,Open,F1_1988_Cars,,,3158016,,
Ferrari_312_67,0,,1,1967,1960-,623,312,1.2,2,Chief Wiggum and Postipate,,SCARFIOTTI_22.VEH,2,0,,REAR,Installed\vehicles\ferrari_312_67\1.2,,Ferrari,6,,,https://forum.studio-397.com/index.php?threads/ferrari-312-1967.,H5,,Open,Ferrari_312_67,,,271593472,,
FISIR2012_2012,0,,0,2012,2010-,,FISIR,1.68,1,Studio 397?,,FISIR_2012_08.VEH,2,1,,REAR,Installed\vehicles\FISIR2012_2012\1.68,,FISIR,0,,,,Paddles,,,FISIR2012_2012,AAA9999,,270536704,,
FLAT12_917k_1971,0,,3,1971,1970-,875,917K,0.76,1,Apex Modding Team,,09_GULF_917K.VEH,2,0,,REAR,Installed\vehicles\flat12_917k_1971\0.76,,Porsche,3,,,,H5,,GT,FLAT12_917k_1971,,,270536704,,
Formula BMW,0,,3,,,532,Bmw,1.28,4,Slow Motion Group,,USA04_056.VEH,2,1,,REAR,Installed\vehicles\Formula BMW\1.28,,Formula,6,,,,Paddles,,Open,Formula BMW,,,271593472,,
Formula2_2012,0,,0,2012,2010-,,2,1.95,1,Studio 397?,,FORMULA2_07.VEH,2,1,,REAR,Installed\vehicles\Formula2_2012\1.95,,Formula,0,,,,Paddles,,,Formula2_2012,AAA9999,,270536704,,
FormulaFord,1,,0,,,495,Ford,0.624,1,,,FR_08.VEH,2,0,,REAR,Installed\vehicles\FormulaFord\0.624,,Formula,0,,,,H5,,,FormulaFord,,,3145728,,
FormulaRenault_35_2014,0,,0,2014,2010-,,35,1.6,1,Studio 397?,,FR35_2014_1.VEH,2,1,,REAR,Installed\vehicles\FormulaRenault_35_2014\1.6,,Formularenault,0,,,,Paddles,,,FormulaRenault_35_2014,,,271593472,,
FVR V8Supercars FGx,0,,1,,,1410,V8Supercars Fgx,6.5,1,FVRFactor,,DJR17_AU14.VEH,2,1,,REAR,Installed\vehicles\FVR V8Supercars FGx\6.5,,Fvr,10,,,www.fvrfactor.com,H6,,Touring,FVR V8Supercars FGx,,,271593472,,
